MPT_ID,px1_G140M,px2_G140M,px1_G235M,px2_G235M,px1_G395M,px2_G395M
1027,12.5,18.5,12.5,18.5,12.5,18.5
21,12.5,16.5,12.5,16.5,12.5,16.5
23,14.5,18.5,14.5,18.5,14.5,18.5
24,15.5,20.5,15.5,20.5,15.5,20.5
515,12.5,16.5,6.5,10.5,12.5,16.5
539,12.5,16.5,12.5,16.5,12.5,16.5
582,12.5,16.5,12.5,16.5,12.5,16.5
618,15.5,20.5,15.5,20.5,15.5,20.5
648,15.5,19.5,15.5,19.5,15.5,19.5
669,14.5,18.5,14.5,18.5,14.5,18.5
670,14.5,18.5,14.5,18.5,14.5,18.5
672,14.5,17.5,14.5,17.5,14.5,17.5
676,13.5,17.5,13.5,17.5,13.5,17.5
800,15.5,19.5,15.5,19.5,15.5,19.5
1147,8.5,12.5,13.5,17.5,13.5,17.5
1207,11.5,15.5,11.5,15.5,11.5,15.5
1212,13.5,17.5,13.5,17.5,13.5,17.5
1289,10.5,14.5,10.5,14.5,10.5,14.5
1294,11.5,16.5,11.5,16.5,11.5,16.5
1374,9.5,14.5,9.5,14.5,9.5,14.5
1376,3.5,6.5,3.5,6.5,3.5,6.5
1443,7.5,12.5,7.5,12.5,7.5,12.5
2508,13.5,18.5,13.5,18.5,13.5,18.5
3060,13.5,17.5,13.5,17.5,13.5,17.5
3145,10.5,13.5,10.5,13.5,10.5,13.5
3187,15.5,19.5,15.5,19.5,15.5,19.5
3456,11.5,14.5,11.5,14.5,11.5,14.5
3788,15.5,20.5,15.5,20.5,15.5,20.5
3838,13.5,17.5,13.5,17.5,13.5,17.5
5106,13.5,17.5,13.5,17.5,13.5,17.5
5251,13.5,18.5,13.5,18.5,13.5,18.5
5300,8.5,12.5,8.5,12.5,8.5,12.5
5362,10.5,14.5,10.5,14.5,10.5,14.5
6563,11.5,17.5,11.5,17.5,11.5,17.5
6689,14.5,18.5,14.5,18.5,14.5,18.5
8041,9.5,13.5,9.5,13.5,9.5,13.5
8588,13.5,17.5,13.5,17.5,13.5,17.5
8710,15.5,19.5,15.5,19.5,15.5,19.5
8736,14.5,18.5,14.5,18.5,14.5,18.5
9025,12.5,16.5,12.5,16.5,12.5,16.5
11088,12.5,17.5,12.5,17.5,12.5,17.5
11580,9.5,12.5,9.5,12.5,9.5,12.5
12599,15.5,18.5,15.5,18.5,15.5,18.5
13863,13.5,17.5,13.5,17.5,13.5,17.5
14063,13.5,17.5,13.5,17.5,13.5,17.5
16991,11.5,15.5,11.5,15.5,11.5,15.5
22265,13.5,17.5,13.5,17.5,13.5,17.5
25000,14.5,18.5,14.5,18.5,14.5,18.5
26836,14.5,18.5,14.5,18.5,14.5,18.5
28886,14.5,17.5,14.5,17.5,14.5,17.5
36119,15.5,19.5,15.5,19.5,15.5,19.5
37131,12.5,16.5,12.5,16.5,12.5,16.5
41323,23.5,27.5,23.5,27.5,23.5,27.5
41330,15.5,19.5,15.5,19.5,15.5,19.5
44841,18.5,22.5,18.5,22.5,18.5,22.5
