MPT_ID,px1_G140M,px2_G140M,px1_G235M,px2_G235M,px1_G395M,px2_G395M
689,13.5,18.5,13.5,18.5,13.5,18.5
712,15.5,19.5,15.5,19.5,15.5,19.5
714,13.5,18.5,8.5,13.5,13.5,18.5
1019,12.5,18.5,12.5,18.5,12.5,18.5
1025,13.5,18.5,13.5,18.5,13.5,18.5
1038,11.5,15.5,11.5,15.5,11.5,15.5

707,13.5,18.5,13.5,18.5,13.5,18.5
1205,14.5,18.5,14.5,18.5,14.5,18.5
1305,11.5,15.5,11.5,15.5,11.5,15.5
1324,11.5,15.5,11.5,15.5,11.5,15.5
1365,13.5,17.5,13.5,17.5,13.5,17.5
1407,14.5,18.5,14.5,18.5,14.5,18.5
1422,14.5,18.5,14.5,18.5,14.5,18.5
1426,15.5,19.5,15.5,19.5,15.5,19.5
1448,14.5,18.5,14.5,18.5,14.5,18.5
1536,13.5,17.5,13.5,17.5,13.5,17.5
1539,13.5,17.5,13.5,17.5,13.5,17.5
1615,15.5,19.5,15.5,19.5,15.5,19.5
1658,14.5,18.5,14.5,18.5,14.5,18.5
1723,12.5,16.5,12.5,16.5,12.5,16.5
2808,7.5,11.5,13.5,17.5,13.5,17.5
2668,15.5,19.5,15.5,19.5,15.5,19.5
3129,11.5,15.5,11.5,15.5,11.5,15.5
3476,13.5,18.5,13.5,18.5,13.5,18.5
3501,11.5,16.5,11.5,16.5,11.5,16.5
3535,24.5,29.5,24.5,29.5,24.5,29.5
3928,9.5,13.5,9.5,13.5,9.5,13.5
3929,7.5,11.5,7.5,11.5,7.5,11.5
4000,12.5,16.5,12.5,16.5,12.5,16.5
5113,13.5,17.5,13.5,17.5,13.5,17.5
5430,11.5,15.6,11.5,15.5,11.5,15.5
5582,15.5,20.5,15.5,20.5,15.5,20.5
8110,13.5,17.5,13.5,17.5,13.5,17.5
8515,9.5,15.5,9.5,15.5,9.5,15.5
9156,16.5,22.5,16.5,22.5,16.5,22.5
10374,11.5,16.6,11.5,16.5,11.5,16.5
11676,11.5,15.5,11.5,15.5,11.5,15.5
12286,12.5,17.5,12.5,17.5,12.5,17.5
12308,12.5,17.5,12.5,17.5,12.5,17.5
12507,13.5,18.5,13.5,18.5,13.5,18.5
14449,15.5,19.5,15.5,19.5,15.5,19.5
16406,13.5,17.5,13.5,17.5,13.5,17.5
17425,18.5,22.5,18.5,22.5,18.5,22.5
17496,13.5,17.5,13.5,17.5,13.5,17.5
18294,14.5,19.5,14.5,19.5,14.5,19.5
21992,14.5,18.5,14.5,18.5,14.5,18.5
22211,14.5,18.5,14.5,18.5,14.5,18.5
24944,14.5,18.5,14.5,18.5,14.5,18.5
26455,15.5,19.5,15.5,19.5,15.5,19.5
26637,12.5,16.5,12.5,16.5,12.5,16.5
27182,24.5,29.5,24.5,29.5,24.5,29.5
29775,13.5,17.5,13.5,17.5,13.5,17.5
