MPT_ID,px1_PRISM,px2_PRISM
1027,8.5,14.5
20,13.5,17.5
22,12.5,16.5
746,14.5,18.5
757,10.5,14.5
2782,14.5,19.5
2759,13.5,17.5
2411,13.5,17.5
2348,10.5,14.5
2362,11.5,16.5
265,12.5,16.5
314,13.5,17.5
323,11.5,16.5
331,8.5,12.5
355,11.5,16.5
356,12.5,16.5
362,12.5,16.5
376,10.5,14.5
381,13.5,17.5
386,13.5,17.5
390,14.5,18.5
391,14.5,18.5
397,14.5,19.5
403,13.5,18.5
409,15.5,19.5
410,15.5,19.5
436,12.5,16.5
439,14.5,18.5
476,15.5,19.5
481,15.5,18.5
498,15.5,19.5
502,5.5,9.5
506,9.5,13.5
510,12.5,16.5
513,16.5,20.5
526,17.5,21.5
542,15.5,19.5
545,12.5,18.5
568,13.5,17.5
570,14.5,18.5
603,12.5,18.5
618,12.5,16.5
622,15.5,19.5
663,15.5,19.5
829,14.5,18.5
1465,11.5,16.5
1509,15.5,18.5
1534,10.5,14.5
1558,16.5,19.5
1981,15.5,18.5
2000,13.5,17.5
2116,14.5,18.5
2123,14.5,19.5
2158,15.5,18.5
2552,13.5,18.5
933,14.5,18.5
2452,12.5,15.5
2919,11.5,15.5
3031,14.5,18.5
3467,14.5,18.5
3855,8.5,13.5
3877,12.5,17.5
3967,15.5,19.5
4128,11.5,14.5
4315,14.5,19.5
4317,9.5,15.5
4334,14.5,18.5
5317,12.5,18.5
5409,12.5,16.5
5674,12.5,18.5
7065,14.5,18.5
7299,11.5,16.5
7398,12.5,16.5
7609,9.5,13.5
7662,11.5,15.5
7808,12.5,17.5
8656,4.5,8.5
9117,11.5,15.5
9148,10.5,14.5
9743,21.5,24.5
9751,15.5,19.5
9939,15.5,19.5
10264,12.5,17.5
10588,10.5,15.5
10593,13.5,18.5
10607,12.5,17.5
10615,13.5,17.5
11699,8.5,13.5
12024,8.5,12.5
12045,13.5,17.5
12526,14.5,19.5
12677,9.5,14.5
12761,9.5,13.5
12897,13.5,17.5
12913,11.5,15.5
13692,14.5,19.5
14667,13.5,17.5
14682,11.5,15.5
14742,9.5,13.5
14998,13.5,17.5
15128,10.5,14.5
15385,14.5,18.5
17699,13.5,15.5
18322,12.5,16.5
18413,11.5,15.5
18538,11.5,15.5
19539,12.5,16.5
19565,11.5,15.5
19857,13.5,17.5
19960,14.5,19.5
20365,12.5,16.5
20614,15.5,19.5
20623,13.5,18.5
20821,14.5,19.5
20823,15.5,20.5
22351,15.5,19.5
22696,15.5,19.5
22726,13.5,17.5
22842,1.5,4.5
22912,14.5,18.5
22922,11.5,15.5
23192,14.5,18.5
28204,8.5,12.5
28430,10.5,14.5
28773,9.5,13.5
28816,12.5,16.5
29884,10.5,13.5
30373,14.5,18.5
30933,9.5,13.5
31242,14.5,18.5
31486,13.5,16.5
31591,15.5,19.5
31739,12.5,16.5
31796,9.5,14.5
31979,12.5,16.5
32169,12.5,16.5
32792,15.5,19.5
34058,14.5,18.5
34330,15.5,20.5
34385,14.5,19.5
34459,12.5,17.5
35028,16.5,20.5
35134,2.5,5.5
41821,8.5,13.5
43115,14.5,18.5
43270,14.5,19.5
43440,13.5,17.5
43873,13.5,17.5
45081,7.5,11.5
45721,10.5,15.5
46679,14.5,18.5
