MPT_ID,px1_G140M,px2_G140M,px1_G235M,px2_G235M,px1_G395M,px2_G395M
20,13.5,17.5,13.5,17.5,13.5,17.5
22,12.5,16.5,12.5,16.5,12.5,16.5
746,14.5,18.5,14.5,18.5,14.5,18.5
757,10.5,14.5,10.5,14.5,10.5,14.5
1027,8.5,14.5,8.5,14.5,8.5,14.5
2782,14.5,19.5,14.5,19.5,14.5,19.5
265,12.5,16.5,12.5,16.5,12.5,16.5
323,11.5,15.5,11.5,15.5,5.5,9.5
331,12.5,16.5,12.5,16.5,12.5,16.5
355,11.5,16.5,6.5,11.5,11.5,16.5
356,12.5,15.5,12.5,15.5,12.5,15.5
376,10.5,14.5,10.5,14.5,10.5,14.5
381,4.5,8.5,6.5,11.5,12.5,17.5
386,12.5,17.5,12.5,17.5,12.5,17.5
390,13.5,17.5,13.5,17.5,13.5,17.5
391,14.5,18.5,9.5,13.5,14.5,18.5
397,13.5,19.5,13.5,19.5,13.5,19.5
403,12.5,18.5,12.5,18.5,12.5,18.5
407,13.5,18.5,13.5,18.5,13.5,18.5
409,15.5,19.5,15.5,19.5,15.5,19.5
410,15.5,19.5,15.5,19.5,15.5,19.5
425,15.5,19.5,15.5,19.5,15.5,19.5
428,14.5,18.5,14.5,18.5,14.5,18.5
481,15.5,18.5,15.5,18.5,15.5,18.5
496,11.5,15.5,11.5,15.5,11.5,15.5
499,14.5,18.5,14.5,18.5,14.5,18.5
513,16.5,20.5,16.5,20.5,16.5,20.5
570,14.5,18.5,14.5,18.5,14.5,18.5
603,12.5,18.5,12.5,18.5,12.5,18.5
613,12.5,17.5,12.5,17.5,12.5,17.5
618,11.5,15.5,11.5,15.5,11.5,15.5
622,15.5,19.5,15.5,19.5,15.5,19.5
663,15.5,19.5,15.5,19.5,15.5,19.5
792,13.5,17.5,13.5,17.5,13.5,17.5
1160,13.5,18.5,13.5,18.5,13.5,18.5
1465,11.5,16.5,11.5,16.5,11.5,16.5
1509,13.5,19.5,13.5,19.5,13.5,19.5
1981,14.5,19.5,14.5,19.5,14.5,19.5
2514,12.5,17.5,12.5,17.5,12.5,17.5
2919,10.5,16.5,10.5,16.5,10.5,16.5
4315,14.5,19.5,14.5,19.5,14.5,19.5
4317,9.5,14.5,9.5,14.5,9.5,14.5
5409,10.5,17.5,10.5,17.5,10.5,17.5
7299,10.5,18.5,10.5,18.5,4.5,10.5
7662,10.5,15.5,10.5,15.5,10.5,15.5
10593,13.5,18.5,13.5,18.5,13.5,18.5
11699,8.5,13.5,8.5,13.5,8.5,13.5
15385,14.5,18.5,14.5,18.5,14.5,18.5
22310,7.5,10.5,7.5,10.5,7.5,10.5
30796,14.5,22.5,14.5,22.5,14.5,22.5
30933,9.5,13.5, 9.5,13.5, 9.5,13.5
31242,14.5,18.5,14.5,18.5,14.5,18.5
31417,13.5,17.5,13.5,17.5,13.5,17.5
34459,11.5,17.5,11.5,17.5,11.5,17.5
35134,2.5,5.5,2.5,5.5,2.5,5.5
