MPT_ID,px1_PRISM,px2_PRISM
719,12.5,17.5
1023,15.5,20.5
1029,11.5,16.5
1040,12.5,16.5
1064,15.5,21.5
2781,15.5,18.5
1217,9.5,15.5
1244,9.5,14.5
1267,12.5,16.5
1383,14.5,18.5
1395,8.5,13.5
1401,7.5,12.5
1410,11.5,15.5
1433,10.5,14.5
1452,12.5,17.5
1561,13.5,18.5
1651,13.5,18.5
1665,14.5,20.5
1677,13.5,17.5
1691,14.5,18.5
1732,10.5,16.5
1743,13.5,16.5
1767,13.5,18.5
1791,13.5,17.5
1809,12.5,16.5
2165,12.5,16.5
2168,14.5,20.5
2169,15.5,19.5
2675,12.5,17.5
2696,12.5,16.5
2936,15.5,18.5
2962,15.5,18.5
3135,15.5,19.5
3208,14.5,18.5
3506,11.5,16.5
3549,8.5,12.5
3564,15.5,19.5
3734,10.5,15.5
4144,14.5,19.5
4196,13.5,17.5
4210,9.5,14.5
4385,15.5,19.5
4763,12.5,18.5
4764,13.5,19.5
4768,9.5,15.5
4908,11.5,16.5
5081,15.5,20.5
5216,14.5,19.5
5538,13.5,18.5
5560,10.5,14.5
6441,13.5,19.5
6649,9.5,15.5
6718,13.5,17.5
6782,13.5,18.5
6953,14.5,18.5
7006,13.5,18.5
7169,9.5,14.5
7337,11.5,15.5
7492,8.5,12.5
7985,14.5,19.5
8033,13.5,18.5
8289,8.5,14.5
8506,14.5,18.5
8514,14.5,19.5
8579,12.5,16.5
8581,13.5,18.5
8582,13.5,19.5
8595,13.5,17.5
8878,14.5,19.5
9133,13.5,19.5
9211,14.5,20.5
10386,9.5,13.5
10389,13.5,16.5
10685,24.5,27.5
10695,13.5,17.5
11015,9.5,13.5
11117,12.5,16.5
11199,8.5,13.5
11284,9.5,13.5
11441,15.5,19.5
11454,12.5,16.5
11583,9.5,13.5
11615,12.5,17.5
11631,16.5,20.5
11805,12.5,16.5
11903,14.5,18.5
12389,13.5,18.5
13764,14.5,18.5
13810,12.5,16.5
13980,10.5,14.5
13981,11.5,15.5
14138,10.5,13.5
14267,15.5,18.5
14285,7.5,11.5
14358,14.5,18.5
14405,15.5,18.5
14897,12.5,16.5
15044,14.5,17.5
15918,10.5,14.5
15922,11.5,14.5
15962,10.5,13.5
16215,13.5,17.5
17218,13.5,16.5
17259,15.5,19.5
17339,11.5,15.5
17348,11.5,16.5
17561,15.5,19.5
17629,14.5,18.5
17651,11.5,14.5
17921,14.5,18.5
18202,14.5,17.5
18469,14.5,18.5
18516,13.5,18.5
19300,12.5,15.5
21664,11.5,15.5
21667,7.5,11.5
22155,13.5,16.5
22257,14.5,18.5
22341,12.5,15.5
23384,10.5,14.5
23642,12.5,15.5
23805,13.5,16.5
24686,8.5,14.5
24775,14.5,18.5
24963,10.5,15.5
24991,11.5,15.5
25652,12.5,16.5
25730,7.5,11.5
25751,12.5,16.5
26033,7.5,11.5
26265,10.5,14.5
26746,15.5,20.5
26960,13.5,17.5
27469,14.5,17.5
27974,13.5,18.5
28042,2.5,5.5
28244,13.5,17.5
29780,15.5,19.5
30274,13.5,17.5
30432,15.5,18.5
30565,13.5,17.5
35690,13.5,16.5
36704,11.5,15.5
36831,10.5,14.5
37072,13.5,17.5
39571,7.5,11.5
40609,15.5,19.5
40610,14.5,19.5
40759,16.5,21.5
40810,15.5,21.5
41335,14.5,18.5
41797,13.5,16.5
41798,14.5,17.5
42219,14.5,18.5
45705,12.5,16.5
46001,11.5,16.5
