MPT_ID,px1_G140M,px2_G140M,px1_G235M,px2_G235M,px1_G395M,px2_G395M
719,12.5,17.5,12.5,17.5,12.5,17.5
1023,15.5,20.5,15.5,20.5,15.5,20.5
1029,11.5,16.5,11.5,16.5,11.5,16.5
1040,12.5,16.5,12.5,16.5,12.5,16.5
1064,15.5,21.5,15.5,21.5,15.5,21.5

1115,12.5,18.5,12.5,18.5,12.5,18.5
1244,9.5,15.5,9.5,15.5,9.5,15.5
1267,11.5,17.5,11.5,17.5,11.5,17.5
1383,14.5,18.5,14.5,18.5,14.5,18.5
1401,7.5,13.5,7.5,13.5,7.5,13.5
1410,9.5,15.5,9.5,15.5,9.5,15.5
1561,13.5,19.5,13.5,19.5,13.5,19.5
1651,13.5,18.5,13.5,18.5,13.5,18.5
1665,15.5,21.5,15.5,21.5,15.5,21.5
1677,13.5,17.5,13.5,17.5,13.5,17.5
1691,14.5,18.5,14.5,18.5,14.5,18.5
1732,10.5,16.5,10.5,16.5,10.5,16.5
1743,13.5,17.5,13.5,17.5,13.5,17.5
1767,13.5,18.5,13.5,18.5,13.5,18.5
2165,12.5,16.5,12.5,16.5,12.5,16.5
2168,15.5,21.5,15.5,21.5,15.5,21.5
2169,15.5,19.5,15.5,19.5,15.5,19.5
2696,12.5,16.5,12.5,16.5,12.5,16.5
2754,14.5,19.5,14.5,19.5,14.5,19.5
3208,15.5,19.5,15.5,19.5,15.5,19.5
3506,11.5,17.5,11.5,17.5,11.5,17.5
4144,15.5,20.5,10.5,15.5,15.5,20.5
4210,9.5,14.5,9.5,14.5,9.5,14.5
4385,15.5,20.5,15.5,20.5,15.5,20.5
4680,10.5,15.5,10.5,15.5,10.5,15.5
4768,9.5,15.5,9.5,15.5,9.5,15.5
6649,9.5,16.5,9.5,16.5,9.5,16.5
6953,14.5,18.5,14.5,18.5,14.5,18.5
7380,12.5,16.5,12.5,16.5,12.5,16.5
8971,11.5,16.5,11.5,16.5,11.5,16.5
9211,14.5,20.5,14.5,20.5,14.5,20.5
11631,15.5,19.5,15.5,19.5,15.5,19.5
11903,14.5,18.5,14.5,18.5,14.5,18.5
13764,13.5,17.5,13.5,17.5,13.5,17.5
13980,10.5,14.5,10.5,14.5,10.5,14.5
14267,15.5,18.5,15.5,18.5,15.5,18.5
14352,13.5,17.5,13.5,17.5,13.5,17.5
17045,13.5,17.5,13.5,17.5,13.5,17.5
17264,9.5,13.5,9.5,13.5,9.5,13.5
24188,13.5,17.5,13.5,17.5,13.5,17.5
25121,12.5,18.5,12.5,18.5,12.5,18.5
25856,9.5,13.5,9.5,13.5,9.5,13.5
# 25862,11.5,15.5,11.5,15.5,11.5,15.5
27063,11.5,15.5,11.5,15.5,11.5,15.5
30520,13.5,17.5,13.5,17.5,13.5,17.5
40380,12.5,16.5,12.5,16.5,12.5,16.5
