MPT_ID,px1_PRISM,px2_PRISM
80023,13.5,17.5
36697,14.5,18.5
80008,8.5,12.5
21875,13.5,16.5
80012,12.5,16.5
1027,14.5,19.5
80075,12.5,16.5
80072,14.5,18.5
80073,14.5,18.5
80083,10.5,14.5
80077,9.5,13.5
80074,11.5,15.5
80043,14.5,18.5
80106,10.5,14.5
733,14.5,18.5
2774,15.5,19.5
2345,13.5,17.5
2779,11.5,14.5
529,15.5,19.5
549,14.5,18.5
606,15.5,19.5
603,13.5,17.5
653,13.5,17.5
618,14.5,18.5
531,13.5,18.5
539,13.5,17.5
535,15.5,20.5
577,12.5,15.5
798,12.5,16.5
3382,7.5,10.5
2922,14.5,18.5
80374,12.5,16.5
80384,15.5,19.5
80250,12.5,16.5
80372,10.5,15.5
80401,10.5,13.5
80244,12.5,15.5
80387,14.5,17.5
80386,13.5,17.5
80239,13.5,16.5
80267,13.5,17.5
2549,12.5,17.5
80457,12.5,16.5
2617,13.5,17.5
2683,11.5,14.5
2972,13.5,18.5
3141,11.5,15.5
3480,9.5,13.5
3768,10.5,14.5
80916,12.5,16.5
80955,8.5,12.5
80932,15.5,19.5
80954,16.5,20.5
80710,15.5,18.5
80944,15.5,19.5
80925,11.5,15.5
80942,11.5,15.5
80917,10.5,14.5
1374,11.5,16.5
80671,10.5,14.5
3327,14.5,18.5
4317,13.5,18.5
4377,12.5,17.5
5020,10.5,14.5
4906,10.5,14.5
4918,13.5,17.5
4605,14.5,20.5
5244,16.5,19.5
6459,12.5,16.5
7396,13.5,17.5
7365,8.5,12.5
6639,16.5,21.5
7244,15.5,19.5
6488,14.5,18.5
7609,12.5,17.5
7821,16.5,20.5
82329,5.5,10.5
83398,14.5,18.5
84891,13.5,18.5
82585,13.5,17.5
83439,10.5,14.5
85636,10.5,14.5
14227,15.5,19.5
22576,13.5,17.5
82294,9.5,13.5
14935,12.5,17.5
85634,11.5,14.5
84810,3.5,8.5
85534,12.5,15.5
83502,13.5,17.5
37697,10.5,14.5
83592,14.5,18.5
21626,12.5,16.5
84763,13.5,16.5
83533,14.5,17.5
85567,12.5,16.5
83574,15.5,18.5
85626,10.5,13.5
12459,13.5,17.5
11495,10.5,14.5
14525,12.5,16.5
83534,10.5,15.5
85630,14.5,17.5
82372,8.5,12.5
82300,11.5,15.5
82507,14.5,18.5
85552,16.5,20.5
83509,14.5,18.5
84733,10.5,14.5
10593,15.5,20.5
12361,11.5,16.5
8105,12.5,15.5
14914,12.5,17.5
11347,13.5,17.5
11017,15.5,19.5
11998,14.5,18.5
9076,4.5,8.5
9246,15.5,19.5
8286,12.5,16.5
17985,16.5,20.5
18908,15.5,20.5
21851,12.5,17.5
21913,10.5,14.5
18471,12.5,16.5
21880,12.5,16.5
21539,10.5,14.5
22546,13.5,17.5
22274,13.5,17.5
28805,15.5,19.5
25021,11.5,16.5
28600,15.5,18.5
30582,13.5,19.5
29290,13.5,17.5
30743,15.5,19.5
24977,5.5,8.5
24702,13.5,17.5
26574,10.5,14.5
28634,15.5,18.5
30771,11.5,16.5
26509,14.5,18.5
36570,16.5,19.5
26011,11.5,15.5
36714,12.5,16.5
37041,9.5,13.5
36641,1.5,4.5
30308,25.5,28.5
28944,20.5,23.5
40879,15.5,19.5
40191,15.5,19.5
40141,16.5,21.5
42739,11.5,15.5
41560,12.5,16.5
42193,11.5,16.5
45820,11.5,15.5
45901,10.5,15.5
80708,13.5,17.5
4696,3.5,6.5
7386,13.5,17.5
85517,15.5,19.5
85551,14.5,18.5
84821,15.5,19.5
83582,11.5,14.5
8045,14.5,17.5
10595,7.5,11.5
19088,12.5,16.5
24839,15.5,20.5
35954,14.5,18.5
30355,12.5,15.5
44976,6.5,10.5
40971,26.5,31.5
