MPT_ID,px1_G140M,px2_G140M,px1_G235M,px2_G235M,px1_G395M,px2_G395M
0,13.5,17.5,13.5,17.5,13.5,17.5
4,13.5,17.5,13.5,17.5,13.5,17.5
7,16.5,21.5,16.5,21.5,16.5,21.5
38,15.5,19.5,15.5,19.5,15.5,19.5
698,11.5,16.5,11.5,16.5,11.5,16.5
717,10.5,15.5,10.5,15.5,10.5,15.5
2170,14.5,18.5,14.5,18.5,14.5,18.5
64,15.5,19.5,15.5,19.5,15.5,19.5
67,14.5,18.5,14.5,18.5,14.5,18.5
76,7.5,11.5,7.5,11.5,7.5,11.5
94,15.5,19.5,15.5,19.5,15.5,19.5
99,12.5,16.5,12.5,16.5,12.5,16.5
148,15.5,19.5,15.5,19.5,15.5,19.5
163,12.5,16.5,12.5,16.5,12.5,16.5
167,14.5,18.5,14.5,18.5,14.5,18.5
174,12.5,17.5,12.5,17.5,12.5,17.5
1130,13.5,17.5,13.5,17.5,13.5,17.5
1142,14.5,18.5,14.5,18.5,14.5,18.5
1163,13.5,18.5,13.5,18.5,13.5,18.5
1477,13.5,18.5,13.5,18.5,13.5,18.5
1538,15.5,19.5,15.5,19.5,15.5,19.5
1626,10.5,14.5,10.5,14.5,10.5,14.5
1634,10.5,14.5,10.5,14.5,10.5,14.5
1746,12.5,16.5,12.5,16.5,12.5,16.5
2089,15.5,20.5,15.5,20.5,15.5,20.5
2184,11.5,14.5,11.5,14.5,11.5,14.5
2317,16.5,20.5,16.5,20.5,16.5,20.5
2422,13.5,20.5,13.5,20.5,13.5,20.5
2904,12.5,16.5,12.5,16.5,12.5,16.5
3223,9.5,13.5,9.5,13.5,9.5,13.5
3560,15.5,19.5,15.5,19.5,15.5,19.5
3585,13.5,18.5,13.5,18.5,13.5,18.5
4314,15.5,20.5,15.5,20.5,15.5,20.5
4402,6.5,10.5,11.5,15.5,11.5,15.5
5117,8.5,13.5,8.5,13.5,8.5,13.5
5413,10.5,14.5,10.5,14.5,10.5,14.5
9413,10.5,14.5,5.5,9.5,10.5,14.5
10010,10.5,15.5,14.5,19.5,14.5,19.5
10293,7.5,12.5,13.5,18.5,13.5,18.5
13348,17.5,21.5,17.5,21.5,17.5,21.5
13661,12.5,17.5,12.5,17.5,12.5,17.5
14636,14.5,18.5,14.5,18.5,14.5,18.5
15434,15.5,19.5,15.5,19.5,15.5,19.5
19179,10.5,15.5,10.5,15.5,10.5,15.5
19321,13.5,17.5,13.5,17.5,13.5,17.5
20487,14.5,18.5,14.5,18.5,14.5,18.5
30715,14.5,17.5,14.5,17.5,14.5,17.5
31075,13.5,18.5,13.5,18.5,13.5,18.5
38187,14.5,18.5,14.5,18.5,14.5,18.5
39481,15.5,19.5,15.5,19.5,15.5,19.5
42801,12.5,16.5,7.5,11.5,12.5,16.5
45060,14.5,18.5,14.5,18.5,14.5,18.5
